MEAN;MAX;MIN;RANGE;KURT;SKEW;ALSC;INSC;RMSC;subject id;condition
1,87646E+16;2,18658E+14;1,46713E+15;7,19452E+14;-1,5054E+16;-6,71967E+14;2,10025E+16;3,94057E+15;1,88233E+16;10;stress
7,83815E+15;9,43604E+11;6,62117E+16;2,81487E+16;-9,95253E+15;5,27844E+15;2,10003E+16;1,64601E+16;7,87349E+15;6;baseline
3,70822E+16;3,91769E+15;3,40271E+13;5,14984E+14;5,32592E+14;3,86521E+15;2,10016E+15;7,78727E+15;3,70826E+16;5;baseline
6,38097E+15;7,42035E+14;5,99709E+15;1,42326E+16;2,09456E+16;1,89698E+16;2,10003E+16;1,34E+15;6,38982E+15;6;baseline
9,5637E+15;1,10855E+15;6,3858E+14;4,69971E+11;8,15685E+14;1,36635E+14;2,10032E+16;2,00838E+15;9,56467E+15;10;amusement
1,11769E+16;1,13125E+16;1,10229E+12;2,89536E+15;1,33397E+16;1,11129E+15;2,10003E+16;2,34714E+15;1,11769E+16;7;baseline
8,3278E+15;8,98743E+13;7,98531E+16;1,00212E+16;4,81282E+15;2,05611E+14;2,10002E+16;1,74884E+16;8,32892E+15;6;amusement
6,77755E+15;7,12929E+16;6,31371E+16;8,15582E+14;-1,18264E+16;3,92844E+15;2,10007E+16;1,42329E+16;6,77907E+15;3;baseline
3,7079E+15;3,81012E+14;3,4935E+15;3,1662E+14;-1,94922E+16;4,39737E+15;2,10008E+16;7,78658E+15;3,70795E+16;8;amusement
8,27916E+15;8,51173E+15;7,91473E+14;5,97E+15;-7,0134E+15;4,18545E+16;2,10002E+15;1,73862E+15;8,27938E+14;6;amusement
7,54303E+15;7,87315E+15;7,19109E+15;6,82068E+13;-1,0913E+16;4,16438E+16;2,10004E+16;1,58404E+16;7,5444E+16;3;stress
2,82197E+16;2,99759E+15;2,34718E+16;6,50406E+15;3,8526E+15;-1,98346E+16;2,10023E+16;5,92613E+15;2,82245E+16;13;amusement
3,69671E+15;3,82233E+14;3,52135E+15;3,0098E+15;-7,56012E+15;-1,87048E+15;2,10008E+15;7,76309E+15;3,69681E+16;8;amusement
3,69673E+15;4,49753E+15;2,7977E+15;1,69983E+13;-1,42002E+14;-1,43886E+16;2,10019E+16;7,76314E+15;3,72742E+15;16;stress
2,342E+14;2,52075E+12;2,09618E+15;4,24576E+15;1,10049E+16;6,29472E+15;2,10024E+15;4,9182E+16;2,3421E+16;13;baseline
2,3485E+14;2,49329E+13;2,16866E+16;3,24631E+15;6,10245E+15;-1,47229E+16;2,10027E+16;4,93185E+16;2,34859E+16;13;baseline
3,10098E+16;3,38173E+16;2,88391E+13;4,97818E+15;-8,67737E+15;3,3691E+15;2,10014E+16;6,51207E+15;3,10197E+14;9;amusement
3,21412E+16;3,61252E+15;2,69318E+14;9,19342E+14;-1,01234E+16;1,53721E+16;2,10019E+15;6,74965E+15;3,21771E+16;9;stress
6,63776E+15;6,91986E+14;6,21223E+16;7,07626E+15;-9,90562E+15;3,57865E+15;2,10008E+16;1,39393E+16;6,63836E+15;3;baseline
5,11534E+15;7,9071E+13;3,40271E+13;4,50439E+11;-1,63092E+14;4,54467E+15;2,10013E+15;1,07422E+14;5,34936E+15;5;baseline
3,71261E+16;3,88298E+15;3,52135E+15;3,61633E+13;-8,5741E+15;3,98539E+15;2,10008E+14;7,79648E+15;3,71282E+16;8;amusement
3,84799E+16;3,97301E+16;3,56941E+16;4,03595E+14;-2,06299E+16;-6,20834E+15;2,10015E+15;8,08078E+15;3,84814E+15;8;baseline
6,59491E+15;6,85692E+16;6,21223E+16;6,44684E+14;-1,08697E+16;5,27186E+15;2,10007E+16;1,38493E+16;6,5952E+15;3;baseline
1,74013E+16;1,93939E+14;1,42174E+16;5,17654E+15;-1,14077E+16;2,34188E+15;2,10032E+15;3,65427E+15;1,74132E+16;9;baseline
8,03508E+15;9,54475E+15;7,23534E+16;2,30942E+15;-4,55322E+15;7,86101E+15;2,10003E+15;1,68737E+16;8,05722E+15;3;stress
4,5016E+14;5,50842E+13;3,54118E+16;1,96724E+16;-1,16639E+14;-4,39571E+14;2,10021E+16;9,45336E+15;4,52181E+15;4;stress
1,46467E+16;2,06146E+14;9,71603E+15;1,08986E+16;1,07062E+15;9,17505E+14;2,10065E+16;3,0758E+15;1,47574E+16;2;stress
1,33777E+16;1,57051E+16;1,0582E+15;5,12314E+15;2,99044E+15;9,60282E+14;2,10043E+16;2,80932E+16;1,33827E+16;4;baseline
6,19094E+15;6,37703E+16;5,91087E+16;4,66156E+14;-7,591E+15;2,90604E+16;2,10005E+16;1,3001E+16;6,19123E+15;17;amusement
1,25789E+16;1,41106E+16;9,30023E+14;4,81033E+15;6,07761E+15;1,42077E+15;2,10052E+15;2,64157E+15;1,25801E+16;4;baseline
5,98152E+14;6,16951E+16;5,6263E+16;5,43213E+11;8,07462E+15;5,90326E+15;2,10014E+16;1,25612E+16;5,98158E+15;11;baseline
1,16732E+16;1,20224E+15;1,13922E+14;6,30188E+13;-8,9481E+15;5,58263E+15;2,10003E+16;2,45137E+15;1,16739E+16;7;amusement
9,53105E+15;1,10855E+15;6,05011E+14;5,0354E+12;8,78382E+15;8,188E+15;2,10035E+15;2,00152E+15;9,53222E+15;10;amusement
7,84389E+15;8,22334E+15;7,51839E+15;7,04956E+12;-8,93026E+15;9,01295E+15;2,10004E+15;1,64722E+16;7,8446E+16;3;amusement
6,32864E+15;6,52351E+16;5,97839E+13;5,4512E+15;1,22019E+15;8,8874E+15;2,10011E+16;1,32901E+16;6,3287E+15;11;amusement
6,21017E+15;6,40411E+14;5,99709E+15;4,07028E+15;4,72939E+15;1,40114E+16;2,10004E+16;1,30414E+16;6,21024E+15;6;baseline
3,83385E+15;3,97301E+16;3,56941E+16;4,03595E+14;-1,20211E+16;-3,3262E+16;2,10015E+16;8,05108E+15;3,83412E+15;8;baseline
1,93357E+13;2,04334E+16;1,8066E+15;2,3674E+15;-1,012E+15;-4,79421E+15;2,10012E+16;4,0605E+15;1,93448E+16;7;stress
3,90869E+16;4,24194E+12;3,4481E+15;7,93839E+15;-9,40222E+15;-2,71122E+16;2,10012E+16;8,20824E+15;3,91055E+14;9;stress
3,85727E+16;3,97301E+16;3,63808E+16;3,3493E+14;-1,64966E+16;-3,19623E+16;2,10015E+14;8,10027E+15;3,85735E+16;8;baseline
6,16942E+15;6,38084E+16;5,78995E+15;5,90897E+15;-1,47582E+16;3,69385E+15;2,10012E+16;1,29558E+16;6,16971E+15;11;baseline
3,63062E+16;3,83415E+15;3,38783E+16;4,4632E+14;-2,2989E+15;-6,04017E+15;2,10013E+15;7,62431E+15;3,631E+15;15;stress
1,25556E+16;1,40457E+15;9,51385E+14;4,53186E+13;5,57797E+15;1,41967E+16;2,10049E+15;2,63668E+15;1,25568E+16;4;baseline
6,22656E+14;6,39458E+15;5,94978E+16;4,44794E+14;1,52969E+16;-1,42507E+16;2,10011E+15;1,30758E+16;6,22669E+15;11;baseline
9,66101E+15;1,09558E+13;7,27844E+13;3,67737E+13;5,28954E+15;1,15099E+16;2,10035E+15;2,02881E+16;9,66202E+15;16;baseline
4,23543E+15;5,04036E+16;3,16772E+12;1,87263E+16;-1,20031E+16;-4,25364E+16;2,10024E+16;8,89439E+15;4,25879E+15;4;stress
3,86691E+16;4,08821E+16;3,57094E+16;5,17273E+13;-6,72665E+15;4,21548E+15;2,10009E+16;8,12051E+15;3,86745E+14;8;stress
2,95348E+15;3,19443E+15;2,73209E+15;4,62341E+13;1,42967E+15;1,50725E+16;2,10018E+16;6,20231E+15;2,95371E+16;14;stress
8,66442E+15;9,71527E+14;0;9,71527E+14;1,50886E+16;-9,81826E+15;2,10016E+16;1,81953E+16;8,68556E+15;3;stress
1,68359E+15;1,84593E+16;1,32027E+16;5,25665E+14;-5,02356E+15;6,51404E+15;2,1003E+14;3,53553E+16;1,68408E+16;9;baseline
5,33808E+15;5,46074E+15;5,07889E+15;3,81851E+15;-5,65099E+15;6,10671E+15;2,10009E+16;1,121E+16;5,33815E+15;17;baseline
2,99567E+15;3,16963E+16;2,68364E+16;4,85992E+14;3,25263E+16;2,65348E+15;2,10019E+16;6,29092E+15;2,99574E+16;14;stress
1,27378E+16;1,43356E+15;9,12094E+15;5,21469E+15;3,44644E+16;8,65148E+15;2,10059E+16;2,67495E+16;1,27394E+16;4;baseline
6,96845E+16;7,82623E+14;6,00929E+15;1,81694E+16;-1,75777E+16;-2,26666E+15;2,10003E+15;1,46337E+16;6,99281E+15;6;baseline
9,25202E+15;1,08185E+14;6103515625;4,71497E+13;5,5342E+15;1,04152E+16;2,10044E+16;1,94292E+15;9,25321E+15;10;amusement
9,71964E+15;1,11137E+16;8,86726E+15;2,24648E+16;2,0226E+15;4,12467E+15;2,10004E+16;2,04112E+16;9,72771E+15;5;stress
1,39164E+16;1,55525E+16;1,06621E+16;4,89044E+14;2,1328E+15;9,76737E+15;2,10059E+16;2,92243E+15;1,39181E+16;4;amusement
1,72914E+16;2,61345E+16;1,10626E+14;1,50719E+16;-2,43088E+15;8,02696E+15;2,10075E+16;3,63119E+15;1,75854E+16;2;stress
