MEAN;MAX;MIN;RANGE;KURT;SKEW;ALSC;INSC;RMSC;condition
4,95321E+15;5,50041E+15;4,47273E+16;1,02768E+15;-1,05181E+16;1,94333E+15;2,10013E+16;1,04017E+16;4,95696E+15;stress
3,393E+15;3,78494E+15;2,86064E+16;9,24301E+15;-1,12871E+16;-1,25912E+16;2,10015E+16;7,1253E+15;3,39737E+16;stress
2,55506E+16;3,63503E+15;1,57013E+14;2,0649E+16;-1,45556E+15;-2,03015E+16;2,10057E+16;5,36562E+15;2,61248E+16;stress
5,53396E+15;6,27213E+15;4,92287E+15;1,34926E+16;-2,23507E+15;7,36045E+15;2,10011E+15;1,16213E+16;5,53916E+15;amusement
2,35257E+15;2,52647E+15;2,10419E+14;4,22287E+15;1,37155E+16;9,21466E+15;2,10026E+16;4,9404E+15;2,35264E+15;baseline
2,33308E+15;2,48489E+15;2,10342E+15;3,8147E+12;2,05272E+15;7,67232E+15;2,10025E+16;4,89946E+15;2,33314E+16;baseline
1,15501E+16;1,22536E+16;1,05789E+15;1,67465E+15;3,81219E+16;-7,91675E+15;2,10002E+15;2,42552E+16;1,15549E+16;stress
1,99156E+14;2,11624E+15;1,89461E+16;2,21634E+15;-6,40531E+15;-1,20501E+15;2,10013E+16;4,18227E+15;1,992E+16;stress
8,34689E+15;9,7847E+15;6,15311E+15;3,63159E+12;9,20909E+15;8,41949E+15;2,10035E+16;1,75285E+15;8,34935E+15;baseline
2,80416E+15;2,9892E+14;2,46696E+16;5,22232E+15;9,45341E+15;9,17791E+15;2,10014E+16;5,88873E+15;2,8042E+16;baseline
3,80892E+16;3,95126E+15;3,57094E+16;3,80325E+15;-8,87084E+15;9,17673E+15;2,10009E+15;7,99872E+15;3,80909E+16;stress
3,69383E+16;3,82233E+14;3,54271E+15;2,79617E+15;-4,14656E+15;-1,36735E+16;2,10008E+15;7,75703E+15;3,69391E+16;amusement
1,38267E+16;1,51825E+14;1,06621E+16;4,52042E+15;4,5425E+15;1,33714E+16;2,10058E+15;2,9036E+15;1,38277E+16;amusement
7,12665E+15;7,51228E+15;6,62155E+15;8,90732E+15;-1,3667E+16;-1,20312E+16;2,10006E+16;1,4966E+15;7,12854E+16;stress
1,17625E+14;1,2067E+16;6621551513671870m;6,31714E+12;-1,26977E+16;-4,63236E+15;2,10003E+16;2,47013E+15;1,17635E+16;amusement
8,09148E+15;9,60274E+15;7,23534E+16;2,3674E+15;-6,4682E+15;7,23038E+15;2,10003E+15;1,69921E+16;8,11746E+15;stress
5,3095E+15;5,41573E+16;5,07889E+15;3,36838E+15;3,57673E+15;-5,87404E+15;2,10008E+16;1,115E+16;5,30952E+16;baseline
1,22398E+16;1,47591E+16;9,13239E+14;5,62668E+15;-7,63944E+15;5,59934E+15;2,1005E+16;2,57037E+15;1,22591E+16;baseline
4,93156E+15;5,50041E+15;4,19502E+16;1,30539E+15;1,19717E+16;-5,93451E+15;2,10014E+15;1,03563E+14;4,93726E+16;stress
4,03089E+16;5,04036E+16;3,16772E+12;1,87263E+16;-1,39826E+16;6,54711E+15;2,10028E+15;8,46488E+14;4,05712E+15;stress
5,30513E+15;6,63528E+15;4,15459E+15;2,4807E+15;-1,06283E+16;-5,52189E+16;2,10013E+16;1,11408E+15;5,33319E+15;stress
2,80488E+16;2,9892E+14;2,46696E+16;5,22232E+15;4,74757E+14;1,13313E+16;2,10015E+16;5,89024E+15;2,80493E+16;baseline
2,12342E+15;2,31857E+15;1,85471E+15;4638671875;-6,58716E+15;-3,70704E+15;2,10019E+16;4,45919E+16;2,12374E+16;baseline
